Sl. No,Food Name,Price
,,
Non-VEG STARTERS,,
1,Chicken Peppar Eden Special (Full),₹ 350
2,Chicken Peppar Eden Special (Half),₹ 175
3,Chicken 555,₹ 180
4,Chicken Sweet 16,₹ 165
5,Chicken Manchurian,₹ 165
6,Chilly Chicken,₹ 155
7,Punjabi Chicken Dry,₹ 155
8,Ginger Chicken Dry,₹ 150
9,Peppar Chicken Dry,₹ 150
10,Lemon Chicken Dry,₹ 150
11,Chicken Fry,₹ 150
12,Chicken Dry,₹ 155
13,Chicken Kabab,₹ 150
14,Chicken Lollipop,₹ 160
15,Chicken Chettinad,₹ 155
16,Peppar wings,₹ 160
17,Japanese Quil Kabab Dry,₹ 110
18,Japanese Quil Fry,₹ 110
,,
VEG STARTERS,,
1,Gobi Manchurian,₹ 110
2,Gobi Chilly,₹ 110
3,Gobi Peppar Dry,₹ 110
4,Paneer Chilly,₹ 120
5,Paneer Manchurian,₹ 120
6,Paneer 65,₹ 120
7,Paneer Papper Dry,₹ 120
8,Mushroom Chilly,₹ 120
9,Mushroom Manchurian,₹ 120
10,Mushroom Peppar Dry,₹ 125
11,Baby Corn Peppar Dry,₹ 125
12,Baby Corn Chilly,₹ 120
13,Baby Corn Manchurian,₹ 120
14,Baby Corn Golden Fry,₹ 110
15,Veg Manchurian,₹ 125
,,
CHICKEN TREAT,,
1,Butter Chicken,155
2,Chicken Masala,150
3,Hydrabadi Chicken,155
4,Andra Chicken,155
5,Chicken Kolapuri,155
6,Chicken Spicy Masala,155
7,Chicken Methi Masala,155
8,Chicken Tikka Masala B/L,160
9,Chicken Kadai,155
10,Chicken Dopyazaa,155
11,Chicken Godavari,155
12,Chicken Sagwala,155
13,Punjabi Chicken,155
14,Kashmiri Chicken,155
15,Chicken Mughlal,155
16,Chilly Chicken Gravy,155
17,Garlic Chicken,155
18,Ginger Chicken,155
19,Chicken Green Masala,155
,,
                            VEG TREAT,,
1,Kaju Masala,170
2,Paneer Butter Masala,110
3,Paneer Green Masala,110
4,Paneer sagwala,110
5,Paneer Kadai,110
6,Paneer Kolapuri,110
7,Paneer Kofta,130
8,Palak Paneer,130
9,Shahi Paneer,130
10,Paneer Mughlal,120
11,Mix Veg Curry,110
12,Veg Makhanwala,110
13,Veg Sagwala,110
14,Veg Kolapuri,110
15,Veg Kofta,110
16,Bhendi Masala,100
17,Bhendi Dry/Fry,95
18,Capcicum Masala,110
19,Capcicum Dry/Fry,110
20,Stued Capcicum,110
21,Gobi Masala,110
22,Gobi Fry,100
23,Gobi Manchurian Gravy,110
24,Gobi chilly Gravy,110
25,Tomato Gobi,110
26,Tomato Masala,90
27,Alu Gobi,100
28,Alu Masala,90
29,Alu Dry/Fry,90
30,Alu Jeera,95
31,Alu Green Masala,100
32,Alu Mutter',100
33,Alu Palak,100
34,Plain Palak,100
35,Baby Corn Masala,110
36,Mushroom Masala,110
37,Green Peas Masala,90
38,Green Peas Dry/Fry,90
39,Chana Masala,100
40,Chana Dry/Fry,100
41,Malai Kofta,110
42,Malai Mutter,95
43,Dal FRy,95
44,Dal Makhani,100
45,Dal Tadka,100
,,
